Tanggal,Terakhir,Pembukaan,Close IDR,Consumer Confidence,Emas USD,BI Rate
2016-12-23,576.13,573.42,13449.0,115.9,1133.6,4.75
2016-12-27,582.88,573.62,13442.0,115.9,1138.8,4.75
2016-12-28,594.3,587.15,13429.0,115.9,1140.9,4.75
2016-12-29,611.62,597.09,13490.0,115.9,1158.1,4.75
2016-12-30,613.8,612.84,13466.0,115.9,1151.7,4.75
2017-01-13,605.77,611.25,13258.0,115.4,1196.2,4.75
2017-01-16,601.68,607.7,13313.0,115.4,1212.9,4.75
2017-01-17,603.09,601.0,13349.0,115.4,1214.3,4.75
2017-01-18,608.34,605.38,13296.0,115.4,1212.1,4.75
2017-01-19,608.65,609.55,13370.0,115.4,1201.5,4.75
2017-01-20,604.3,607.02,13378.0,115.4,1204.9,4.75
2017-01-23,602.91,602.35,13406.0,115.4,1215.6,4.75
2017-01-24,603.83,605.64,13345.0,115.4,1210.8,4.75
2017-01-25,600.86,606.54,13342.0,115.4,1197.8,4.75
2017-01-26,605.6,602.3,13316.0,115.4,1189.8,4.75
2017-01-27,608.96,603.99,13387.0,115.4,1191.1,4.75
2017-01-30,610.11,613.39,13326.0,115.4,1196.0,4.75
2017-01-31,606.35,609.91,13338.0,115.4,1211.4,4.75
2017-01-02,613.54,610.6,13512.0,115.9,1208.3,4.75
2017-02-02,616.38,613.15,13360.0,115.4,1219.4,4.75
2017-01-03,627.67,626.63,13506.0,115.9,1250.0,4.75
2017-02-03,626.74,630.83,13346.0,115.4,1232.9,4.75
2017-10-05,698.6,702.13,13470.0,123.8,1218.9,4.75
2017-12-05,701.16,710.08,13494.0,123.8,1227.7,4.75
2017-05-15,707.25,705.37,13323.0,123.8,1230.0,4.75
2017-05-16,691.06,704.28,13285.0,123.8,1236.4,4.75
2017-05-17,686.16,692.73,13274.0,123.8,1258.7,4.75
2017-05-18,694.03,678.84,13318.0,123.8,1252.8,4.75
2017-05-19,719.51,690.79,13399.0,123.8,1253.6,4.75
2017-05-22,715.27,731.65,13328.0,123.8,1261.4,4.75
2017-05-23,708.41,721.04,13296.0,123.8,1255.5,4.75
2017-05-24,701.38,700.6,13296.0,123.8,1253.1,4.75
2017-05-26,702.67,703.12,13302.0,123.8,1268.1,4.75
2017-05-29,707.93,706.46,13288.0,123.8,1265.7,4.75
2017-05-30,704.84,704.0,13315.0,123.8,1265.7,4.75
2017-05-31,705.8,705.77,13319.0,123.8,1275.4,4.75
2017-02-06,714.47,713.34,13338.0,115.3,1280.2,4.75
2017-06-06,710.45,713.54,13283.0,115.3,1297.5,4.75
2017-07-06,714.26,711.4,13363.0,115.3,1293.2,4.75
2017-09-06,703.16,710.93,13333.0,115.3,1271.4,4.75
2017-12-06,707.6,701.34,13513.0,115.3,1268.9,4.75
2017-06-13,707.86,704.53,13314.0,115.3,1268.6,4.75
2017-06-14,720.95,706.93,13282.0,115.3,1275.9,4.75
2017-06-15,719.67,717.97,13286.0,115.3,1254.6,4.75
2017-06-16,712.3,720.17,13294.0,115.3,1256.5,4.75
2017-06-19,715.8,713.85,13277.0,115.3,1246.7,4.75
2017-06-20,722.16,715.74,13286.0,115.3,1243.5,4.75
2017-06-21,729.53,720.02,13291.0,115.3,1245.8,4.75
2017-06-22,728.56,728.87,13301.0,115.3,1249.4,4.75
2017-03-07,746.17,728.85,13342.0,115.3,1219.2,4.75
2017-04-07,742.92,741.23,13353.0,115.3,1221.7,4.75
2017-06-07,736.32,733.99,13259.0,125.9,1223.3,4.75
2017-07-07,737.36,733.9,13383.0,125.9,1209.7,4.75
2017-11-07,727.54,726.96,13483.0,125.9,1214.7,4.75
2017-12-07,736.91,724.51,13534.0,122.1,1219.1,4.75
2017-07-13,740.25,740.24,13363.0,122.1,1217.3,4.75
2017-07-14,740.28,740.22,13341.0,122.1,1227.5,4.75
2017-07-17,741.42,738.23,13332.0,122.1,1233.7,4.75
2017-07-18,739.47,735.82,13321.0,122.1,1241.9,4.75
2017-07-19,736.4,739.59,13302.0,122.1,1242.0,4.75
2017-07-20,738.01,736.56,13309.0,122.1,1245.5,4.75
2017-07-21,728.17,737.03,13303.0,122.1,1254.9,4.75
2017-07-24,736.77,727.67,13265.0,122.1,1254.3,4.75
2017-07-25,741.08,736.97,13316.0,122.1,1252.1,4.75
2017-07-26,743.83,739.86,13328.0,122.1,1249.4,4.75
2017-07-27,747.0,744.12,13329.0,122.1,1260.0,4.75
2017-07-28,744.96,749.51,13311.0,122.1,1275.3,4.75
2017-07-31,752.67,741.83,13320.0,122.1,1273.4,4.75
2017-02-08,750.83,751.47,13310.0,122.1,1278.4,4.5
2017-03-08,743.44,751.63,13336.0,117.1,1274.4,4.5
2017-08-08,755.55,745.77,13315.0,123.4,1262.6,4.5
2017-09-08,757.94,757.53,13289.0,123.4,1279.3,4.5
2017-11-08,750.54,755.1,13514.0,123.4,1294.0,4.5
2017-08-14,754.42,751.01,13351.0,123.4,1290.4,4.5
2017-08-15,755.1,754.68,13342.0,123.4,1279.7,4.5
2017-08-16,760.84,755.91,13354.0,123.4,1282.9,4.5
2017-08-18,754.75,755.17,13372.0,123.4,1291.6,4.5
2017-08-21,759.5,753.88,13355.0,123.4,1296.7,4.5
2017-08-22,761.03,758.52,13344.0,123.4,1291.0,4.5
